frame, success, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU04_c, AU12_c, AU15_c, AU23_c, AU28_c, AU45_c
1, 1, 0.985657, 0, 0, 1.62903, 0, 2.20822, 0.53635, 2.54224, 2.88069, 1.68731, 0, 0, 0.951266, 4.10402, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.986187, 0, 0, 1.68742, 0, 2.16635, 0.549573, 2.43937, 2.9419, 1.65763, 0, 0, 0, 3.89957, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.985055, 0, 0, 1.78768, 0, 2.14731, 0.823073, 2.40206, 2.76741, 1.80879, 0, 0, 0.789229, 3.88932, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.984763, 0, 0, 1.54843, 0, 2.21085, 0.641997, 2.51143, 2.76831, 1.96442, 0, 0, 1.05901, 3.95508, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.985153, 0, 0, 1.59913, 0, 2.19483, 0.739595, 2.47267, 2.74129, 1.83077, 0, 0, 1.0429, 3.66562, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.984647, 0, 0, 1.47655, 0, 2.18411, 0.831929, 2.48671, 2.7797, 1.81591, 0, 0, 1.07329, 3.69689, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.984978, 0, 0, 1.73497, 0, 2.24099, 0.605058, 2.53111, 2.84318, 1.98972, 0, 0, 0.932491, 3.97682, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.985823, 0, 0, 1.93909, 0, 2.14886, 1.0796, 2.4431, 2.77357, 1.8074, 0.531457, 0, 0.815263, 3.68835, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.98524, 0, 0, 1.60628, 0, 2.17716, 0.710954, 2.46176, 2.81079, 1.82165, 0, 0, 0.834771, 4.04293, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.986216, 0, 0, 1.49563, 0, 2.18894, 0.692427, 2.48531, 2.82002, 1.83867, 0, 0, 0.787646, 3.67021, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.986834, 0, 0, 1.73727, 0, 2.14664, 0.780585, 2.40869, 2.77389, 1.97119, 0, 0, 0.770409, 3.66483, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.986887, 0, 0, 1.53816, 0.606054, 2.13683, 0.661469, 2.41089, 2.80332, 1.69874, 0, 0, 0.905923, 3.9526, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.986895, 0, 0, 1.58533, 0.608831, 2.14304, 0.756583, 2.45662, 2.87202, 1.71802, 0, 0, 0.873791, 4.03033, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.98698, 0, 0, 1.80541, 0.549288, 2.11731, 0.953937, 2.3531, 2.78776, 1.67868, 0, 0, 0.902671, 4.25373, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.987673, 0, 0, 1.56727, 0.52063, 2.12679, 0.787612, 2.41305, 2.81031, 1.67498, 0, 0, 0.775656, 4.28388, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.987766, 0, 0, 1.70908, 0, 2.15382, 0.818689, 2.47375, 2.8341, 1.67255, 0, 0, 0.943987, 4.29085, 0, 0, 1, 0, 0, 1, 0
